"date","county","state","fips","cases","deaths","new_cases","week_sum"
2020-03-25,"Essex","Massachusetts","25009",177,1,59,163
2020-03-25,"Franklin","Massachusetts","25011",14,0,9,13
2020-03-25,"Hampden","Massachusetts","25013",45,1,21,43
2020-03-25,"Hampshire","Massachusetts","25015",11,0,3,11
2020-03-25,"Middlesex","Massachusetts","25017",446,2,142,346
2020-03-25,"Norfolk","Massachusetts","25021",222,2,93,177
2020-03-25,"Plymouth","Massachusetts","25023",101,0,37,96
2020-03-25,"Suffolk","Massachusetts","25025",342,3,108,291
2020-03-25,"Worcester","Massachusetts","25027",129,3,56,119
2020-03-26,"Barnstable","Massachusetts","25001",67,1,16,62
2020-03-26,"Berkshire","Massachusetts","25003",73,2,2,55
2020-03-26,"Bristol","Massachusetts","25005",90,0,23,84
2020-03-26,"Essex","Massachusetts","25009",247,3,70,228
2020-03-26,"Franklin","Massachusetts","25011",16,1,2,15
2020-03-26,"Hampden","Massachusetts","25013",55,2,10,52
2020-03-26,"Hampshire","Massachusetts","25015",17,0,6,16
2020-03-26,"Middlesex","Massachusetts","25017",538,5,92,419
2020-03-26,"Norfolk","Massachusetts","25021",292,3,70,240
2020-03-26,"Plymouth","Massachusetts","25023",138,0,37,133
2020-03-26,"Suffolk","Massachusetts","25025",448,4,106,376
2020-03-26,"Worcester","Massachusetts","25027",166,4,37,152
2020-03-27,"Barnstable","Massachusetts","25001",100,2,33,91
2020-03-27,"Berkshire","Massachusetts","25003",105,4,32,85
2020-03-27,"Bristol","Massachusetts","25005",129,1,39,123
2020-03-27,"Essex","Massachusetts","25009",350,3,103,321
2020-03-27,"Franklin","Massachusetts","25011",24,2,8,23
2020-03-27,"Hampden","Massachusetts","25013",90,2,35,87
2020-03-27,"Hampshire","Massachusetts","25015",20,0,3,18
2020-03-27,"Middlesex","Massachusetts","25017",685,6,147,541
2020-03-27,"Norfolk","Massachusetts","25021",393,7,101,329
2020-03-27,"Plymouth","Massachusetts","25023",187,0,49,176
2020-03-27,"Suffolk","Massachusetts","25025",631,4,183,544
2020-03-27,"Worcester","Massachusetts","25027",219,4,53,200
2020-03-28,"Barnstable","Massachusetts","25001",133,2,33,122
2020-03-28,"Berkshire","Massachusetts","25003",119,4,14,98
2020-03-28,"Bristol","Massachusetts","25005",179,1,50,165
